"Move In","In Time","Move Out","Out Time"
,,2,2025-09-10 20:00
,,3,2025-09-10 20:00
1,2025-09-10 20:00,,
2,2025-09-10 20:00,,
3,2025-09-10 20:00,,
4,2025-09-10 20:01,,
1,2025-09-10 20:03,,
1,2025-09-10 20:09,,
2,2025-09-10 20:09,,
3,2025-09-10 20:09,,
1,2025-09-10 20:10,,
,,1,2025-09-10 20:10
1,2025-09-10 20:12,,
,,1,2025-09-10 20:12
1,2025-09-10 20:18,,
,,1,2025-09-10 20:18
1,2025-09-10 20:18,,
,,1,2025-09-10 20:18
,,1,2025-09-10 20:19
,,2,2025-09-10 20:19
,,3,2025-09-10 20:19
1,2025-09-10 20:19,,
2,2025-09-10 20:20,,
3,2025-09-10 20:20,,
4,2025-09-10 20:20,,
1,2025-09-10 20:21,,
,,1,2025-09-10 20:21
1,2025-09-10 20:22,,
,,1,2025-09-10 20:22
1,2025-09-11 08:46,,
2,2025-09-11 08:47,,
3,2025-09-11 08:47,,
,,1,2025-09-11 08:48
,,1,2025-09-11 08:50
,,2,2025-09-11 08:50
1,2025-09-11 08:50,,
2,2025-09-11 08:51,,
3,2025-09-11 08:51,,
4,2025-09-11 08:51,,
5,2025-09-11 08:51,,
6,2025-09-11 08:51,,
7,2025-09-11 08:52,,
8,2025-09-11 08:52,,
,,3,2025-09-11 08:52
9,2025-09-11 08:52,,
10,2025-09-11 08:52,,
11,2025-09-11 08:52,,
,,4,2025-09-11 08:52
